location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,b_C,b_CI,b_G
66,63,M2,684.331,0,2,1,0,2,0,720,0.675,0.45,0.137904
54,28,M2,708.785,0,2,1,1,0,0,720,0.675,0.45,0.137904
96,89,M2,319.076,0,2,1,1,4,0,720,0.675,0.45,0.137904
59,31,M2,336.63,0,2,1,1,5,0,720,0.675,0.45,0.137904
58,1,M2,310.364,0,2,1,1,3,0,720,0.675,0.45,0.137904
78,73,M2,323.937,0,2,1,1,1,0,720,0.675,0.45,0.137904
33,62,M2,652.458,0,2,1,0,2,0,720,0.675,0.45,0.137904
34,47,M2,332.535,1,2,1,0,2,0,720,0.675,0.45,0.137904
16,1,M2,345.654,0,2,1,1,0,0,720,0.675,0.45,0.137904
29,47,M2,310.116,0,2,1,0,3,0,720,0.675,0.45,0.137904
84,25,M2,342.777,0,2,1,1,6,0,720,0.675,0.45,0.137904
82,96,M2,616.77,0,2,1,1,0,0,720,0.675,0.45,0.137904
16,91,M2,563.177,0,2,1,1,5,0,720,0.675,0.45,0.137904
29,84,M2,331.779,0,2,1,1,2,0,720,0.675,0.45,0.137904
20,58,M2,692.729,0,2,1,1,2,0,720,0.675,0.45,0.137904
33,34,M2,285.782,0,2,1,1,0,0,720,0.675,0.45,0.137904
52,94,M2,455.464,0,2,1,1,1,0,720,0.675,0.45,0.137904
70,52,M2,307.176,0,2,1,0,4,0,720,0.675,0.45,0.137904
91,24,M2,380.254,0,2,1,1,5,0,720,0.675,0.45,0.137904
97,11,M2,396.692,0,2,1,1,6,0,720,0.675,0.45,0.137904
38,68,M2,526.835,0,2,1,0,3,0,720,0.675,0.45,0.137904
41,68,M2,408.784,0,2,1,0,0,0,720,0.675,0.45,0.137904
94,73,M2,522.172,0,2,1,1,0,0,720,0.675,0.45,0.137904
94,87,M2,662.111,0,2,1,1,4,0,720,0.675,0.45,0.137904
81,81,M2,526.815,0,2,1,1,3,0,720,0.675,0.45,0.137904
45,68,M2,675.804,0,2,1,0,1,0,720,0.675,0.45,0.137904
38,1,M2,372.822,0,2,1,1,3,0,720,0.675,0.45,0.137904
29,56,M2,199.571,0,2,1,0,1,0,720,0.675,0.45,0.137904
14,1,M2,511.537,0,2,1,1,0,0,720,0.675,0.45,0.137904
49,31,M2,383.48,1,2,1,0,1,0,720,0.675,0.45,0.137904
24,96,M2,405.754,0,2,1,1,0,0,720,0.675,0.45,0.137904
59,67,M2,199.011,0,2,1,0,4,0,720,0.675,0.45,0.137904
83,94,M2,709.546,0,2,1,1,2,0,720,0.675,0.45,0.137904
81,18,M2,372.037,0,2,1,1,5,0,720,0.675,0.45,0.137904
7,10,M1,703.967,0,2,1,1,6,0,720,0.675,0.45,0.137904
74,85,M2,531.898,0,2,1,1,1,0,720,0.675,0.45,0.137904
59,24,M2,593.027,0,2,1,1,1,0,720,0.675,0.45,0.137904
52,68,M2,672.451,0,2,1,0,2,0,720,0.675,0.45,0.137904
26,83,M2,495.528,0,2,1,1,2,0,720,0.675,0.45,0.137904
14,14,M2,219.943,0,2,1,1,5,0,720,0.675,0.45,0.137904
10,35,M2,509.477,0,2,1,1,3,0,720,0.675,0.45,0.137904
53,69,M2,280.171,0,2,1,0,6,0,720,0.675,0.45,0.137904
41,95,M2,408.554,0,2,1,1,3,0,720,0.675,0.45,0.137904
52,30,M2,240.687,0,2,1,0,1,0,720,0.675,0.45,0.137904
25,31,M2,569.694,0,2,1,1,1,0,720,0.675,0.45,0.137904
82,6,M2,266.069,0,2,1,1,6,0,720,0.675,0.45,0.137904
94,3,M1,365.933,0,2,1,1,3,0,720,0.675,0.45,0.137904
56,68,M2,588.147,0,2,1,0,3,0,720,0.675,0.45,0.137904
64,67,M2,184.817,0,2,1,0,2,0,720,0.675,0.45,0.137904
77,78,M1,166.772,0,2,1,1,1,0,720,0.675,0.45,0.137904
3,53,M2,229.337,0,2,1,1,5,0,720,0.675,0.45,0.137904
40,69,M2,707.413,0,2,1,0,2,0,720,0.675,0.45,0.137904
87,76,M2,341.735,0,2,1,1,1,0,720,0.675,0.45,0.137904
21,65,M2,243.57,0,2,1,1,6,0,720,0.675,0.45,0.137904
59,32,M2,412.935,0,2,1,0,1,0,720,0.675,0.45,0.137904
62,44,M2,522.427,1,2,1,0,5,0,720,0.675,0.45,0.137904
88,17,M2,420.07,0,2,1,1,0,0,720,0.675,0.45,0.137904
28,61,M2,290.86,0,2,1,1,3,0,720,0.675,0.45,0.137904
79,86,M2,630.161,0,2,1,1,6,0,720,0.675,0.45,0.137904
41,32,M2,533.441,0,2,1,0,5,0,720,0.675,0.45,0.137904
48,31,M2,174.152,0,2,1,0,4,0,720,0.675,0.45,0.137904
35,40,M2,544.166,0,2,1,0,0,0,720,0.675,0.45,0.137904
43,84,M1,255.23,0,2,1,1,0,0,720,0.675,0.45,0.137904
33,43,M2,696.951,0,2,1,0,1,0,720,0.675,0.45,0.137904
30,91,M2,436.781,0,2,1,1,1,0,720,0.675,0.45,0.137904
68,44,M2,161.003,2,2,1,0,0,10.5,720,0.675,0.45,0.137904
36,39,M2,176.815,0,2,1,0,6,0,720,0.675,0.45,0.137904
38,76,M2,253.053,0,2,1,1,3,0,720,0.675,0.45,0.137904
30,28,M2,198.265,0,2,1,1,6,0,720,0.675,0.45,0.137904
45,93,M2,645.359,0,2,1,1,0,0,720,0.675,0.45,0.137904
69,52,M2,228.019,0,2,1,0,0,0,720,0.675,0.45,0.137904
2,80,M2,465.07,0,2,1,1,2,0,720,0.675,0.45,0.137904
54,69,M2,292.161,0,2,1,1,5,0,720,0.675,0.45,0.137904
33,37,M2,597.21,0,2,1,0,3,0,720,0.675,0.45,0.137904
83,62,M2,390.416,0,2,1,1,0,0,720,0.675,0.45,0.137904
14,72,M2,666.3,0,2,1,1,5,0,720,0.675,0.45,0.137904
