location[0],location[1],state,age,now_phagocytose,max_phagocytose,CSF1R,trans,trans_num,rest_time,life_span,b_C,b_CI,b_G
64,23,M2,586.019,0,2,1,1,0,0,720,0.675,0.45,0.137904
80,93,M2,648.269,0,2,1,1,0,0,720,0.675,0.45,0.137904
40,92,M2,361.754,0,2,1,1,5,0,720,0.675,0.45,0.137904
27,8,M2,664.851,0,2,1,1,6,0,720,0.675,0.45,0.137904
69,60,M2,486.735,0,2,1,0,5,0,720,0.675,0.45,0.137904
80,38,M2,342.744,0,2,1,1,6,0,720,0.675,0.45,0.137904
30,85,M2,622.496,0,2,1,1,0,0,720,0.675,0.45,0.137904
53,30,M2,337.282,0,2,1,0,6,0,720,0.675,0.45,0.137904
74,56,M2,276.611,0,2,1,0,0,0,720,0.675,0.45,0.137904
76,73,M2,502.304,0,2,1,1,0,0,720,0.675,0.45,0.137904
57,65,M2,557.381,0,2,1,0,4,0,720,0.675,0.45,0.137904
15,40,M2,305.419,0,2,1,1,0,0,720,0.675,0.45,0.137904
30,21,M2,259.265,0,2,1,1,2,0,720,0.675,0.45,0.137904
65,90,M2,267.611,0,2,1,1,1,0,720,0.675,0.45,0.137904
6,75,M2,584.157,0,2,1,1,1,0,720,0.675,0.45,0.137904
37,41,M2,240.528,0,2,1,0,0,0,720,0.675,0.45,0.137904
97,16,M2,348.829,0,2,1,1,2,0,720,0.675,0.45,0.137904
74,54,M2,404.35,0,2,1,0,1,0,720,0.675,0.45,0.137904
8,24,M2,357.879,0,2,1,1,6,0,720,0.675,0.45,0.137904
1,86,M2,627.884,0,2,1,1,6,0,720,0.675,0.45,0.137904
92,79,M1,224.572,0,2,1,1,5,0,720,0.675,0.45,0.137904
45,91,M2,368.571,0,2,1,1,4,0,720,0.675,0.45,0.137904
74,28,M2,597.964,0,2,1,1,4,0,720,0.675,0.45,0.137904
83,75,M2,710.121,0,2,1,1,6,0,720,0.675,0.45,0.137904
61,3,M2,341.024,0,2,1,1,0,0,720,0.675,0.45,0.137904
93,15,M2,292.006,0,2,1,1,0,0,720,0.675,0.45,0.137904
69,4,M2,551.305,0,2,1,1,5,0,720,0.675,0.45,0.137904
73,76,M2,704.656,0,2,1,1,4,0,720,0.675,0.45,0.137904
40,77,M2,568.632,0,2,1,1,5,0,720,0.675,0.45,0.137904
9,60,M2,586.324,0,2,1,1,4,0,720,0.675,0.45,0.137904
6,95,M2,570.797,0,2,1,1,3,0,720,0.675,0.45,0.137904
69,96,M2,620.492,0,2,1,1,3,0,720,0.675,0.45,0.137904
80,1,M2,221.466,0,2,1,1,4,0,720,0.675,0.45,0.137904
70,16,M2,362.332,0,2,1,1,3,0,720,0.675,0.45,0.137904
77,91,M2,454.891,0,2,1,1,4,0,720,0.675,0.45,0.137904
52,73,M2,599.331,2,2,1,0,0,5,720,0.675,0.45,0.137904
22,23,M2,472.659,0,2,1,1,0,0,720,0.675,0.45,0.137904
36,3,M2,540.952,0,2,1,1,6,0,720,0.675,0.45,0.137904
94,76,M2,238.415,0,2,1,1,2,0,720,0.675,0.45,0.137904
73,55,M2,712.429,0,2,1,0,5,0,720,0.675,0.45,0.137904
77,77,M2,637.175,0,2,1,1,4,0,720,0.675,0.45,0.137904
6,90,M2,584.607,0,2,1,1,6,0,720,0.675,0.45,0.137904
62,28,M2,415.229,0,2,1,1,1,0,720,0.675,0.45,0.137904
54,31,M2,195.933,0,2,1,0,6,0,720,0.675,0.45,0.137904
41,78,M2,207.899,0,2,1,0,2,0,720,0.675,0.45,0.137904
54,72,M2,395.645,0,2,1,0,6,0,720,0.675,0.45,0.137904
57,2,M2,494.791,0,2,1,1,0,0,720,0.675,0.45,0.137904
56,80,M2,517.05,0,2,1,1,6,0,720,0.675,0.45,0.137904
78,18,M2,658.897,0,2,1,1,5,0,720,0.675,0.45,0.137904
13,85,M2,325.818,0,2,1,1,4,0,720,0.675,0.45,0.137904
32,50,M2,423.464,0,2,1,0,4,0,720,0.675,0.45,0.137904
1,94,M2,545.874,0,2,1,1,6,0,720,0.675,0.45,0.137904
44,26,M2,693.216,0,2,1,0,5,0,720,0.675,0.45,0.137904
35,14,M2,467.398,0,2,1,1,6,0,720,0.675,0.45,0.137904
17,5,M2,594.753,0,2,1,1,3,0,720,0.675,0.45,0.137904
6,29,M2,410.772,0,2,1,1,0,0,720,0.675,0.45,0.137904
85,94,M2,374.427,0,2,1,1,5,0,720,0.675,0.45,0.137904
20,91,M2,177.685,0,2,1,1,4,0,720,0.675,0.45,0.137904
60,37,M2,308.496,0,2,1,1,6,0,720,0.675,0.45,0.137904
62,65,M2,363.676,0,2,1,0,1,0,720,0.675,0.45,0.137904
81,23,M2,433.978,0,2,1,1,6,0,720,0.675,0.45,0.137904
15,96,M2,714.976,0,2,1,1,3,0,720,0.675,0.45,0.137904
60,61,M2,241.587,1,2,1,0,3,0,720,0.675,0.45,0.137904
22,82,M2,684.138,0,2,1,1,5,0,720,0.675,0.45,0.137904
38,73,M2,211.923,0,2,1,1,0,0,720,0.675,0.45,0.137904
76,70,M2,493.186,0,2,1,1,5,0,720,0.675,0.45,0.137904
96,92,M2,182.696,0,2,1,1,3,0,720,0.675,0.45,0.137904
79,22,M2,566.663,0,2,1,1,3,0,720,0.675,0.45,0.137904
54,77,M2,410.592,0,2,1,1,4,0,720,0.675,0.45,0.137904
30,51,M2,427.517,0,2,1,0,4,0,720,0.675,0.45,0.137904
53,93,M2,549.444,0,2,1,1,4,0,720,0.675,0.45,0.137904
47,76,M2,383.391,0,2,1,0,2,0,720,0.675,0.45,0.137904
57,33,M2,700.697,0,2,1,1,4,0,720,0.675,0.45,0.137904
79,97,M2,490.504,0,2,1,1,1,0,720,0.675,0.45,0.137904
67,78,M2,170.703,0,2,1,1,2,0,720,0.675,0.45,0.137904
58,77,M2,339.14,0,2,1,1,5,0,720,0.675,0.45,0.137904
26,73,M2,639.796,0,2,1,1,0,0,720,0.675,0.45,0.137904
46,76,M2,159.928,0,2,1,1,4,0,720,0.675,0.45,0.137904
33,28,M2,504.556,0,2,1,1,0,0,720,0.675,0.45,0.137904
11,97,M2,148.159,0,2,1,1,3,0,720,0.675,0.45,0.137904
23,2,M2,162.637,0,2,1,1,0,0,720,0.675,0.45,0.137904
84,57,M2,370.964,0,2,1,1,5,0,720,0.675,0.45,0.137904
79,41,M2,552.755,0,2,1,1,2,0,720,0.675,0.45,0.137904
37,40,M2,694.192,0,2,1,0,0,0,720,0.675,0.45,0.137904
97,13,M2,552.364,0,2,1,1,1,0,720,0.675,0.45,0.137904
96,67,M2,498.683,0,2,1,1,1,0,720,0.675,0.45,0.137904
67,62,M1,421.964,2,2,1,1,2,8,720,0.675,0.45,0.137904
43,76,M2,480.049,0,2,1,0,6,0,720,0.675,0.45,0.137904
24,65,M2,654.996,0,2,1,0,0,0,720,0.675,0.45,0.137904
10,23,M2,375.936,0,2,1,1,0,0,720,0.675,0.45,0.137904
19,27,M2,579.919,0,2,1,1,0,0,720,0.675,0.45,0.137904
77,45,M2,431.383,0,2,1,1,0,0,720,0.675,0.45,0.137904
34,40,M2,627.014,0,2,1,0,3,0,720,0.675,0.45,0.137904
92,75,M2,183.799,0,2,1,1,3,0,720,0.675,0.45,0.137904
76,41,M2,270.196,0,2,1,0,2,0,720,0.675,0.45,0.137904
96,44,M1,584.698,0,2,1,1,3,0,720,0.675,0.45,0.137904
75,52,M2,372.964,0,2,1,0,6,0,720,0.675,0.45,0.137904
92,20,M2,243.113,0,2,1,1,1,0,720,0.675,0.45,0.137904
92,58,M2,233.549,0,2,1,1,6,0,720,0.675,0.45,0.137904
35,30,M2,672.151,0,2,1,1,0,0,720,0.675,0.45,0.137904
89,23,M2,249.033,0,2,1,1,5,0,720,0.675,0.45,0.137904
24,23,M2,219.949,0,2,1,1,0,0,720,0.675,0.45,0.137904
95,84,M2,429.73,0,2,1,1,4,0,720,0.675,0.45,0.137904
28,75,M2,534.047,0,2,1,1,4,0,720,0.675,0.45,0.137904
23,70,M2,677.878,0,2,1,1,3,0,720,0.675,0.45,0.137904
83,24,M2,613.532,0,2,1,1,0,0,720,0.675,0.45,0.137904
71,60,M2,716.076,0,2,1,0,6,0,720,0.675,0.45,0.137904
75,61,M2,718.334,0,2,1,1,0,0,720,0.675,0.45,0.137904
80,65,M2,133.168,0,2,1,1,6,0,720,0.675,0.45,0.137904
11,77,M2,562.602,0,2,1,1,4,0,720,0.675,0.45,0.137904
82,23,M2,429.164,0,2,1,1,1,0,720,0.675,0.45,0.137904
56,34,M2,251.541,0,2,1,0,4,0,720,0.675,0.45,0.137904
79,88,M2,224.73,0,2,1,1,6,0,720,0.675,0.45,0.137904
83,33,M2,710.763,0,2,1,1,2,0,720,0.675,0.45,0.137904
2,81,M2,407.581,0,2,1,1,2,0,720,0.675,0.45,0.137904
88,11,M2,241.454,0,2,1,1,3,0,720,0.675,0.45,0.137904
7,96,M2,690.782,0,2,1,1,6,0,720,0.675,0.45,0.137904
77,48,M2,158.194,0,2,1,1,3,0,720,0.675,0.45,0.137904
46,6,M2,641.059,0,2,1,1,2,0,720,0.675,0.45,0.137904
84,15,M2,389.431,0,2,1,1,5,0,720,0.675,0.45,0.137904
8,83,M2,230.21,0,2,1,1,3,0,720,0.675,0.45,0.137904
63,23,M2,127.353,0,2,1,1,4,0,720,0.675,0.45,0.137904
32,10,M2,643.493,0,2,1,1,3,0,720,0.675,0.45,0.137904
