location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
47,48,50,quiescent,40.5,33,14,26.5,8,1,14,192,1,0.15062,0.20646,0.225871,0.846864,0.845238,7.15,44,0.542654,0.602104,0.678279,0
50,46,51,quiescent,31,14,14,16,8,1,14,192,1,0.150631,0.206541,0.226542,0.846998,0.845331,7.15,44,0.542677,0.602129,0.678312,0
51,46,52,quiescent,41.5,35,14,24.5,8,1,14,192,1,0.150636,0.206573,0.226845,0.847058,0.845373,7.15,44,0.542687,0.602139,0.678327,0
48,45,53,quiescent,38,28,14,17.5,8,1,14,192,1,0.150632,0.206576,0.226608,0.847011,0.84534,7.15,44,0.542681,0.602133,0.678319,0
53,51,54,quiescent,50,4,14,21,8,2,14,192,1,0.150655,0.20667,0.227966,0.847275,0.845528,7.15,44,0.542727,0.602183,0.678392,0
53,47,55,quiescent,35,22,14,15,8,1,14,192,1,0.150649,0.206652,0.227582,0.847201,0.845475,7.15,44,0.542712,0.602166,0.678366,0
47,53,56,quiescent,51.5,7,14,16.5,8,2,14,192,1,0.150635,0.206526,0.226775,0.847042,0.845363,7.15,44,0.542687,0.60214,0.678332,0
45,51,57,quiescent,17,34,14,17,8,0,14,192,1,0.150625,0.206477,0.226212,0.846927,0.845285,7.15,44,0.542665,0.602116,0.678297,0
50,53,58,quiescent,44.5,41,14,24,8,1,14,192,1,0.150644,0.206587,0.2273,0.847146,0.845436,7.15,44,0.542706,0.60216,0.67836,0
49,44,59,quiescent,50,4,14,18,8,2,14,192,1,0.150641,0.206638,0.227112,0.84711,0.84541,7.15,44,0.542698,0.602151,0.678343,0
54,49,60,quiescent,40,32,14,21.5,8,1,14,192,1,0.150659,0.206711,0.228178,0.847316,0.845558,7.15,44,0.542732,0.602189,0.678399,0
54,50,61,quiescent,30,12,14,15.5,8,1,14,192,1,0.150661,0.206722,0.228338,0.847347,0.84558,7.15,44,0.542739,0.602196,0.67841,0
46,52,62,quiescent,45.5,43,14,19,8,1,14,192,1,0.150628,0.206484,0.226369,0.84696,0.845306,7.15,44,0.542672,0.602123,0.678308,0
54,47,63,quiescent,50.5,5,14,18,8,2,14,192,1,0.150659,0.206729,0.228205,0.847321,0.845561,7.15,44,0.542732,0.602188,0.678397,0
43,49,64,quiescent,52.5,9,14,15,8,2,14,192,1,0.150634,0.206578,0.226745,0.847032,0.845359,7.15,44,0.542681,0.602133,0.678323,0
52,53,65,quiescent,38,28,14,21.5,8,1,14,192,1,0.150659,0.206688,0.228177,0.847316,0.845557,7.15,44,0.542735,0.602192,0.678405,0
53,46,66,quiescent,30,12,14,15.5,8,1,14,192,1,0.150652,0.20668,0.227758,0.847235,0.8455,7.15,44,0.542717,0.602172,0.678374,0
