location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
43,52,108,quiescent,150.5,13,14,45,8,2,14,192,1,0.0226607,0.203583,0.233214,0.269339,0.882933,7.15,44,0.340674,0.420767,0.297972,1
54,49,109,quiescent,49.5,3,14,30,8,1,14,192,1,0.0226775,0.203774,0.23462,0.269702,0.883076,7.15,44,0.340837,0.420857,0.2981,1
55,50,110,quiescent,102,12,14,51,8,2,14,192,1,0.0226887,0.203929,0.235547,0.269945,0.883168,7.15,44,0.340961,0.420926,0.298227,1
46,56,111,quiescent,99,6,14,20,8,3,14,192,1,0.0226827,0.203956,0.235039,0.269815,0.883115,7.15,44,0.34095,0.420923,0.298303,1
44,56,114,quiescent,113,34,14,66,8,2,14,192,1,0.0226762,0.203869,0.234498,0.269675,0.883061,7.15,44,0.340869,0.420877,0.298215,1
47,45,115,quiescent,124.5,9,14,60.5,8,1,14,192,1,0.022642,0.203215,0.231696,0.268935,0.882781,7.15,44,0.340442,0.420636,0.297673,1
43,48,118,quiescent,68.5,41,14,22,8,2,14,192,1,0.0226459,0.20332,0.232064,0.269018,0.882818,7.15,44,0.340494,0.420665,0.297764,1
57,50,121,quiescent,147,6,14,46,8,4,14,192,1,0.0226925,0.203973,0.235765,0.270028,0.883189,7.15,44,0.341015,0.420957,0.29829,1
43,51,122,quiescent,76,8,14,53.5,8,1,14,192,1,0.0226564,0.203511,0.232875,0.269246,0.882899,7.15,44,0.34062,0.420737,0.297907,1
43,46,125,quiescent,125,10,14,64.5,8,2,14,192,1,0.0226426,0.203232,0.231838,0.268947,0.882796,7.15,44,0.340461,0.420647,0.297742,1
56,48,127,quiescent,140,40,14,66.5,8,3,14,192,1,0.0226777,0.203765,0.234588,0.269707,0.883072,7.15,44,0.340849,0.420864,0.298133,1
43,56,129,quiescent,86,28,14,48.5,8,1,14,192,1,0.0226774,0.203864,0.234557,0.2697,0.883066,7.15,44,0.340896,0.420892,0.298263,1
55,49,130,quiescent,47.5,47,14,21,8,1,14,192,1,0.0226804,0.203813,0.234845,0.269766,0.883098,7.15,44,0.340869,0.420875,0.298134,1
47,56,131,quiescent,85,26,14,19,8,1,14,192,1,0.0226906,0.20404,0.23566,0.269986,0.883176,7.15,44,0.341062,0.420987,0.298442,1
43,49,133,quiescent,83.5,23,14,83.5,8,0,14,192,1,0.0226488,0.203377,0.232283,0.26908,0.88284,7.15,44,0.340527,0.420684,0.297799,1
45,56,135,quiescent,63,30,14,20.5,8,1,14,192,1,0.022678,0.203899,0.234656,0.269713,0.883077,7.15,44,0.340887,0.420887,0.298228,1
43,50,137,quiescent,109,26,14,58.5,8,2,14,192,1,0.0226523,0.203442,0.232559,0.269157,0.882867,7.15,44,0.340569,0.420708,0.297848,1
56,47,144,quiescent,60.5,25,14,20.5,8,1,14,192,1,0.0226752,0.203708,0.234351,0.269654,0.883048,7.15,44,0.340844,0.420862,0.298158,1
43,54,147,quiescent,113.5,35,14,113.5,8,0,14,192,1,0.0226691,0.203726,0.233892,0.269521,0.883,7.15,44,0.340784,0.420829,0.298113,1
57,49,149,quiescent,165.5,43,14,81,8,3,14,192,1,0.0226856,0.203874,0.235192,0.269879,0.883131,7.15,44,0.34094,0.420915,0.298216,1
43,53,154,quiescent,97.5,3,14,55.5,8,1,14,192,1,0.022665,0.203655,0.233554,0.269431,0.882967,7.15,44,0.34073,0.420798,0.298041,1
42,50,157,quiescent,110,28,14,18,8,3,14,192,1,0.0226575,0.203477,0.232934,0.26927,0.882904,7.15,44,0.340659,0.42076,0.297982,1
55,48,162,quiescent,21.5,43,14,21.5,8,0,14,192,1,0.022675,0.203728,0.234378,0.269648,0.883051,7.15,44,0.340819,0.420847,0.298098,1
55,51,163,quiescent,72,0,14,72,8,0,14,192,1,0.0227012,0.20408,0.23655,0.270215,0.883268,7.15,44,0.341112,0.421012,0.298392,1
56,51,163,quiescent,113,34,14,51.5,8,2,14,192,1,0.0227055,0.204122,0.236857,0.270308,0.883298,7.15,44,0.341158,0.421037,0.298427,1
56,49,165,quiescent,54,12,14,24.5,8,1,14,192,1,0.0226833,0.203847,0.235044,0.269827,0.883117,7.15,44,0.340904,0.420894,0.298172,1
42,48,167,quiescent,96.5,1,14,15,8,3,14,192,1,0.0226506,0.203352,0.232405,0.269119,0.882852,7.15,44,0.340576,0.420713,0.297891,1
42,49,168,quiescent,87,30,14,16.5,8,1,14,192,1,0.0226537,0.203411,0.232639,0.269187,0.882875,7.15,44,0.340613,0.420733,0.297929,1
43,47,170,quiescent,46,44,14,46,8,0,14,192,1,0.0226438,0.203271,0.231913,0.268973,0.882803,7.15,44,0.340471,0.420653,0.297743,1
46,57,171,quiescent,30,12,14,30,8,0,14,192,1,0.0226874,0.204032,0.235424,0.269916,0.883153,7.15,44,0.341016,0.42096,0.298397,1
43,55,173,quiescent,55,14,14,55,8,0,14,192,1,0.0226732,0.203796,0.234226,0.269609,0.883034,7.15,44,0.340838,0.42086,0.298185,1
42,57,177,quiescent,104.5,17,14,36.5,8,2,14,192,1,0.022685,0.203948,0.235123,0.269865,0.883122,7.15,44,0.341014,0.42096,0.298432,1
45,57,180,quiescent,68.5,41,14,23,8,2,14,192,1,0.0226825,0.203972,0.235026,0.26981,0.883114,7.15,44,0.340951,0.420923,0.29832,1
48,44,183,quiescent,168.5,1,14,42.5,8,4,14,192,1,0.0226452,0.203213,0.231857,0.269004,0.882796,7.15,44,0.340514,0.420678,0.297784,1
42,47,186,quiescent,102,12,14,74,8,1,14,192,1,0.0226484,0.203303,0.232249,0.269071,0.882836,7.15,44,0.340552,0.420699,0.297869,1
57,46,188,quiescent,180.5,25,14,45.5,8,3,14,192,1,0.022679,0.20372,0.234601,0.269737,0.883071,7.15,44,0.340917,0.420904,0.298277,1
47,58,189,quiescent,58,20,14,32,8,1,14,192,1,0.0227001,0.204198,0.23645,0.270191,0.883255,7.15,44,0.341192,0.421061,0.298631,1
56,50,193,quiescent,45.5,43,14,45.5,8,0,14,192,1,0.0226916,0.203961,0.235746,0.270009,0.883187,7.15,44,0.340995,0.420946,0.298261,1
58,51,197,quiescent,142.5,45,14,22.5,8,3,14,192,1,0.0227003,0.204083,0.236332,0.270197,0.883244,7.15,44,0.341128,0.421021,0.298429,1
54,44,199,quiescent,159.5,31,14,15.5,8,5,14,192,1,0.0226758,0.203568,0.234155,0.269667,0.883024,7.15,44,0.340975,0.420941,0.29843,1
46,58,204,quiescent,123,6,14,105.5,8,1,14,192,1,0.0226924,0.204113,0.23584,0.270025,0.883195,7.15,44,0.341085,0.420999,0.298493,1
45,58,205,quiescent,79,14,14,28.5,8,1,14,192,1,0.0226871,0.204048,0.23541,0.269911,0.883152,7.15,44,0.341018,0.420961,0.298416,1
42,45,210,quiescent,141.5,43,14,91,8,1,14,192,1,0.0226473,0.203243,0.232226,0.269048,0.882835,7.15,44,0.340548,0.420698,0.297887,1
42,58,211,quiescent,93.5,43,14,22.5,8,1,14,192,1,0.0226886,0.204012,0.235422,0.269944,0.883152,7.15,44,0.341068,0.420991,0.298509,1
48,58,213,quiescent,95.5,47,14,28,8,1,14,192,1,0.0227097,0.204299,0.2372,0.2704,0.883328,7.15,44,0.34134,0.421145,0.298835,1
40,48,217,quiescent,116.5,41,14,101,8,1,14,192,1,0.0226652,0.20346,0.233467,0.269437,0.882955,7.15,44,0.340828,0.420857,0.298263,1
57,52,220,quiescent,72.5,1,14,72.5,8,0,14,192,1,0.0227138,0.204238,0.237478,0.27049,0.883358,7.15,44,0.341285,0.42111,0.298597,1
57,45,224,quiescent,183,30,14,35,8,4,14,192,1,0.0226817,0.203715,0.23477,0.269794,0.883088,7.15,44,0.340984,0.420944,0.298402,1
41,55,226,quiescent,74,4,14,15,8,2,14,192,1,0.0226847,0.203871,0.23505,0.269858,0.883114,7.15,44,0.341027,0.420968,0.298455,1
46,59,227,quiescent,99,6,14,24.5,8,2,14,192,1,0.0226979,0.204192,0.236285,0.270143,0.883239,7.15,44,0.341159,0.421041,0.298592,1
42,46,230,quiescent,130.5,21,14,72,8,1,14,192,1,0.0226472,0.203265,0.232183,0.269046,0.88283,7.15,44,0.340543,0.420694,0.297868,1
47,59,233,quiescent,160.5,33,14,81,8,2,14,192,1,0.0227059,0.204279,0.23693,0.270318,0.883302,7.15,44,0.341267,0.421103,0.298726,1
42,56,238,quiescent,86.5,29,14,37,8,1,14,192,1,0.0226814,0.203885,0.23483,0.269787,0.883093,7.15,44,0.340964,0.420931,0.298361,1
41,49,239,quiescent,68,40,14,68,8,0,14,192,1,0.0226606,0.203461,0.233142,0.269337,0.882924,7.15,44,0.340731,0.420801,0.298103,1
42,44,240,quiescent,129.5,19,14,45.5,8,2,14,192,1,0.0226489,0.203233,0.232385,0.269081,0.882852,7.15,44,0.340567,0.420709,0.297922,1
57,47,243,quiescent,139,38,14,20.5,8,2,14,192,1,0.0226786,0.203749,0.234609,0.269726,0.883073,7.15,44,0.340883,0.420884,0.298204,1
40,49,244,quiescent,96.5,1,14,17,8,4,14,192,1,0.0226693,0.203527,0.233779,0.269527,0.882986,7.15,44,0.340876,0.420884,0.298311,1
40,57,247,quiescent,99.5,7,14,18.5,8,2,14,192,1,0.0227,0.204053,0.236205,0.270191,0.883228,7.15,44,0.34125,0.421096,0.29876,1
44,58,250,quiescent,78.5,13,14,54,8,1,14,192,1,0.0226848,0.204009,0.235196,0.26986,0.88313,7.15,44,0.340993,0.420948,0.298393,1
